Name,Race,Flavor,Positive effects,Negative effects,Medical effects
Afpak,hybrid,"['Earthy', 'Chemical', 'Pine']","['Relaxed', 'Hungry', 'Happy', 'Sleepy']",['Dizzy'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']"
African,sativa,"['Spicy/Herbal', 'Pungent', 'Earthy']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Talkative']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea', 'Headache']"
Afternoon Delight,hybrid,"['Pepper', 'Flowery', 'Pine']","['Relaxed', 'Hungry', 'Euphoric', 'Uplifted', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Cramps', 'Headache']"
Afwreck,hybrid,"['Pine', 'Earthy', 'Flowery']","['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Sleepy']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches', 'Muscle Spasms']"
Agent Orange,hybrid,"['Citrus', 'Orange', 'Sweet']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Headache', 'Headaches']"
Agent Tangie,hybrid,"['Skunk', 'Pepper', 'Citrus']","['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Focused']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Stress', 'Cramps', 'Fatigue', 'Eye Pressure']"
Alaska,sativa,"['Earthy', 'Woody', 'Pungent']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Focused']","['Dizzy', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']"
Alaska Thunder Grape,hybrid,"['Grape', 'Pepper', 'Skunk']","['Relaxed', 'Euphoric', 'Creative', 'Tingly', 'Focused']",[],"['Pain', 'Stress', 'Eye Pressure']"
Alaskan Ice,sativa,"['Earthy', 'Pine', 'Minty']","['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']"
Alaskan Thunder Fuck,sativa,"['Earthy', 'Woody', 'Pine']","['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']"
