Name,Brand,Rating,Price,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,THC Dominant,,,,-0.0981,"['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']",blueberry pie
Runtz,Redbird,,,,,,,0.6526,"['Happy 29%', 'Euphoric 28%', 'Uplifted 28%', 'Relaxed 26%', 'Creative 18%']","['Stress 12%', 'Anxiety 9%', 'Depression 8%', 'Lack of appetite 5%', 'Pain 5%']","['Dry mouth 6%', 'Dizzy 4%', 'Dry eyes 3%', 'Anxious 2%', 'Headache 1%']",runtz
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,,,,,,,,,high cbd flower cured with terpenes - otto x cherry
Zkittlez (CBD),Simply Crafted,5.0,25.0,THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']",zkittlez
Long's Peak Blue,Terrapin Care Station,4.3,,,,,,,,,,long's peak blue
Candyland (CBD),Black Tie CBD,5.0,9.0,THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']",candyland
Blissful Wizard ,Curio Wellness,5.0,,THC Dominant,,,,0.2706,"['Happy 68%', 'Euphoric 63%', 'Relaxed 56%', 'Uplifted 55%', 'Focused 39%']","['Stress 33%', 'Depression 32%', 'Pain 25%', 'Anxiety 25%', 'Fatigue 16%']","['Dry mouth 18%', 'Dry eyes 12%', 'Paranoid 6%', 'Anxious 5%', 'Dizzy 5%']",blissful wizard
Kushberry,High Five Farms,,,THC Dominant,,,,-0.5731,"['Relaxed 57%', 'Happy 46%', 'Euphoric 44%', 'Hungry 34%', 'Sleepy 34%']","['Stress 46%', 'Pain 42%', 'Anxiety 35%', 'Insomnia 33%', 'Depression 28%']","['Dry mouth 29%', 'Dry eyes 24%', 'Dizzy 4%', 'Headache 4%', 'Paranoid 4%']",kushberry
The Guice,Canuvo,,,THC Dominant,15–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",,,,,the guice
XJ-13,Freddy's Fuego,,,THC Dominant,15–18% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Pinene']",0.8271,"['Happy 59%', 'Uplifted 51%', 'Euphoric 50%', 'Energetic 43%', 'Creative 42%']","['Stress 38%', 'Depression 29%', 'Anxiety 27%', 'Pain 18%', 'Fatigue 13%']","['Dry mouth 24%', 'Dry eyes 14%', 'Paranoid 6%', 'Anxious 4%', 'Dizzy 4%']",xj-13
