Name,Brand,Rating,Price,Join_name
Star Flo Shake,Grow West Cannabis Company,,,star flo shake
Mac 1,Canna Organix,,,mac 1
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
The 11,Health For Life Flower,,,the 11
Runtz,Redbird,,,runtz
Orange Daiquiri,Tryke Companies,,,orange daiquiri
High CBD Flower Cured with Terpenes - Otto x Cherry,Simply Crafted,4.9,25.0,high cbd flower cured with terpenes - otto x cherry
Rose,Cloud 9 Confectionery,,,rose
Lime Breath OG,House of Cultivar,,,lime breath og
LA Affair,Mini Budz By Northwest Cannabis Solutions,,,la affair
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Long's Peak Blue,Terrapin Care Station,4.3,,long's peak blue
Candyland (CBD),Black Tie CBD,5.0,9.0,candyland
Bazookies #10,The Greenery,,,bazookies #10
Glazed Apricot Gelato,Resonant Botanicals,,,glazed apricot gelato
Face Off OG - Mid Shelf,Guest Strain,,,face off og - mid shelf
Blissful Wizard ,Curio Wellness,5.0,,blissful wizard
CBD Critical Mass Flower,Dream City,,,cbd critical mass flower
Caramel Apple Gelato,MÜV Products,,,caramel apple gelato
Kushberry,High Five Farms,,,kushberry
The Guice,Canuvo,,,the guice
XJ-13,Freddy's Fuego,,,xj-13
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
Hash Haze,Terrapin Care Station,3.9,,hash haze
French Toast,SKöRD,,,french toast
Mega Jackpot,Western Cultured by Hannah Industries,,,mega jackpot
Ghost Train Haze,GOLDLEAF,,,ghost train haze
L.I.T. Platinum,Tierra Grow,5.0,,l.i.t. platinum
Elphaba's Bliss,Terrapin Care Station,4.0,,elphaba's bliss
Mai Tai,Green Leaf Medical (gLeaf),4.0,,mai tai
Blue Dream,Yilo,2.0,,blue dream
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
Peppermint Agave,Prūf Cultivar,,,peppermint agave
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,blueberry pie
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
Skywalker OG,Emerald Family Farms,4.5,,skywalker og
GSC (f.k.a. Girl Scout Cookies) ,Simply Crafted,5.0,25.0,gsc
The Church,Kiamichi Skies,4.0,,the church
Grapefruit Durban,Terrapin Care Station,4.7,,grapefruit durban
True OG,Eureka Cultivation,,,true og
Orange Ghost,Western Oregon Botanicals,,,orange ghost
Guru,"CommCan, Inc.",5.0,,guru
Southwest Stomper x William's Wonder Kief,Grow West Cannabis Company,,,southwest stomper x william's wonder kief
Mendo Purps Studio Flower,Marley Natural,,,mendo purps studio flower
Rainbow Popcorn,TRU Infusion,,,rainbow popcorn
Garlic Bud,Regulator Xtracts,,,garlic bud
Russian Automatic (RNA) Hemp flower,Texas CannaBest,4.0,40.0,russian automatic  hemp flower
Zkittlez (CBD),Simply Crafted,5.0,25.0,zkittlez
Cookies and Cream,Prūf Cultivar,,,cookies and cream
Panda OG,Phat Panda by Grow Op Farms,,,panda og
Gromulan ,Health For Life Flower,,,gromulan
Sour Train,Arizona Natural Selections (AZNS),,,sour train
Orange Cream Cake,AZ Nectar Farms,5.0,,orange cream cake
Super Lemon Haze,Claybourne Co.,,,super lemon haze
TK OG,Copperstate Farms,,,tk og
Papaya,Ervana,,,papaya
Purple Punch,SunMed Growers,,,purple punch
Triangle Kush X Chem De La Chem,Culta,,,triangle kush x chem de la chem
Southern Lights,Phat Panda by Grow Op Farms,,,southern lights
Hells Canyon Berries,Hells Canyon Cannabis Company,,,hells canyon berries
Original Glue (GG4) (fka Gorilla Glue #4),GG Strains LLC,4.4,,original glue
XXX OG,Maven Genetics,5.0,,xxx og
Blackbeards Gold,Freddy's Fuego,,,blackbeards gold
Prepacked $20 1/8th - Cherry Punch,Guest Strain,,,prepacked $20 1/8th - cherry punch
Waiting Game,Yerba Buena,,,waiting game
Platinum Mints,High End Farms,,,platinum mints
Sunshine #4,SunMed Growers,5.0,,sunshine #4
Amnesia Haze,Regulator Xtracts,,,amnesia haze
