Name,Dominance,THC,CBD,Terpenes,Calm/Energize,Feelings,Helps,Negative,Join_name
The Big Dirty,THC Dominant,,,,,,,,the big dirty
Alien Hallucination,THC Dominant,,,,0.4857,"['Happy 70%', 'Euphoric 62%', 'Relaxed 59%', 'Uplifted 48%', 'Creative 44%']","['Stress 40%', 'Depression 37%', 'Pain 25%', 'Muscle spasms 22%', 'Anxiety 22%']","['Dry mouth 18%', 'Dry eyes 11%', 'Paranoid 11%', 'Anxious 3%', 'Dizzy 3%']",alien hallucination
Strawberry Alien Kush,THC Dominant,,,,,,,,strawberry alien kush
Concord Grape Blockhead,THC Dominant,,,,,,,,concord grape blockhead
White Slipper,THC Dominant,,,,0.9053,,,,white slipper
Super Sour Skunk,THC Dominant,,,,0.5402,"['Happy 74%', 'Uplifted 51%', 'Giggly 42%', 'Relaxed 42%', 'Euphoric 37%']","['Stress 37%', 'Depression 31%', 'Pain 31%', 'Anxiety 25%', 'Fatigue 17%']","['Dry mouth 22%', 'Dry eyes 20%', 'Anxious 5%', 'Paranoid 5%', 'Dizzy 2%']",super sour skunk
Kush-N-Cheese,THC Dominant,,,,,,,,kush-n-cheese
Tuna Kush,THC Dominant,,,,-0.9074,"['Relaxed 79%', 'Sleepy 55%', 'Euphoric 53%', 'Happy 51%', 'Hungry 33%']","['Stress 48%', 'Depression 37%', 'Anxiety 33%', 'Pain 27%', 'Insomnia 24%']","['Dry mouth 35%', 'Dry eyes 12%', 'Paranoid 11%', 'Dizzy 7%', 'Anxious 3%']",tuna kush
Blackberry Hashplant,THC Dominant,,,,0.3164,"['Euphoric 57%', 'Sleepy 42%', 'Energetic 38%', 'Happy 33%', 'Uplifted 33%']","['Pain 71%', 'Anxiety 57%', 'Stress 42%', 'Nausea 28%', 'Migraines 28%']","['Dry mouth 47%', 'Dry eyes 33%', 'Dizzy 9%', 'Headache 9%', 'Paranoid 4%']",blackberry hashplant
Devil Fruit,,,,,-0.7507,"['Relaxed 85%', 'Happy 42%', 'Uplifted 42%', 'Euphoric 35%', 'Sleepy 35%']","['PTSD 28%', 'ADD/ADHD 21%', 'Anxiety 21%', 'Arthritis 21%', 'Bipolar disorder 14%']","['Dry mouth 28%', 'Anxious 21%', 'Dry eyes 21%', 'Dizzy 7%', 'Paranoid 7%']",devil fruit
Zookies,THC Dominant,17–20% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.0064,,,,zookies
Fruit Crusher,THC Dominant,,,,,,,,fruit crusher
LA OG,THC Dominant,17–21% THC,< 1% CBD,"['Myrcene', 'Limonene', 'Caryophyllene']",-0.665,"['Relaxed 61%', 'Euphoric 55%', 'Happy 40%', 'Uplifted 38%', 'Sleepy 34%']","['Pain 51%', 'Stress 38%', 'Anxiety 32%', 'Insomnia 30%', 'Muscle spasms 18%']","['Dry mouth 32%', 'Dry eyes 16%', 'Anxious 10%', 'Paranoid 10%', 'Dizzy 8%']",la og
Rare Darkness,THC Dominant,,,,-0.9059999999999999,"['Relaxed 78%', 'Sleepy 54%', 'Euphoric 48%', 'Happy 47%', 'Hungry 25%']","['Stress 35%', 'Insomnia 33%', 'Pain 33%', 'Anxiety 29%', 'Depression 20%']","['Dry mouth 29%', 'Dry eyes 9%', 'Anxious 4%', 'Headache 4%', 'Dizzy 3%']",rare darkness
