Name,Brand,Rating,Price,Race,Flavor,Dominance,THC,CBD,Terpenes,"Calm/Energize [-1,1]",Positive effects,Positive effects (reviews),Negative effects,Medical effects (reviews),Medical effects,Negative effects (reviews)
BlueBerry Pie (CBD),Black Tie CBD,5.0,9.0,hybrid,"['Blueberry', 'Sweet', 'Berry']",THC Dominant,,,,-0.0981,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Relaxed 64%', 'Happy 60%', 'Uplifted 46%', 'Euphoric 35%', 'Giggly 21%']","['Dry Mouth', 'Dry Eyes', 'Anxious']","['Stress 37%', 'Pain 35%', 'Depression 23%', 'Insomnia 23%', 'Anxiety 21%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']","['Dry mouth 23%', 'Dry eyes 12%', 'Anxious 1%', 'Dizzy 1%', 'Headache 1%']"
Runtz,Redbird,,,,,,,,,0.6526,,"['Happy 29%', 'Euphoric 28%', 'Uplifted 28%', 'Relaxed 26%', 'Creative 18%']",,"['Stress 12%', 'Anxiety 9%', 'Depression 8%', 'Lack of appetite 5%', 'Pain 5%']",,"['Dry mouth 6%', 'Dizzy 4%', 'Dry eyes 3%', 'Anxious 2%', 'Headache 1%']"
Zkittlez (CBD),Simply Crafted,5.0,25.0,indica,"['Sweet', 'Berry', 'Grape']",THC Dominant,16–20% THC,< 1% CBD,"['Caryophyllene', 'Humulene', 'Linalool']",-0.6124,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Relaxed 48%', 'Happy 30%', 'Euphoric 27%', 'Uplifted 23%', 'Sleepy 20%']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Stress 19%', 'Depression 16%', 'Anxiety 16%', 'Pain 14%', 'Insomnia 10%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']","['Dry mouth 17%', 'Dry eyes 9%', 'Headache 3%', 'Dizzy 3%', 'Anxious 2%']"
Candyland (CBD),Black Tie CBD,5.0,9.0,sativa,"['Sweet', 'Earthy', 'Pungent']",THC Dominant,16–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",0.7717,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 62%', 'Uplifted 53%', 'Euphoric 50%', 'Relaxed 46%', 'Energetic 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 30%', 'Depression 28%', 'Anxiety 21%', 'Pain 19%', 'Fatigue 16%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 21%', 'Dry eyes 13%', 'Anxious 5%', 'Dizzy 4%', 'Paranoid 3%']"
Blissful Wizard ,Curio Wellness,5.0,,hybrid,"['Sweet', 'Vanilla', 'Earthy']",THC Dominant,,,,0.2706,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Talkative']","['Happy 68%', 'Euphoric 63%', 'Relaxed 56%', 'Uplifted 55%', 'Focused 39%']",[],"['Stress 33%', 'Depression 32%', 'Pain 25%', 'Anxiety 25%', 'Fatigue 16%']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea']","['Dry mouth 18%', 'Dry eyes 12%', 'Paranoid 6%', 'Anxious 5%', 'Dizzy 5%']"
Kushberry,High Five Farms,,,indica,"['Berry', 'Sweet', 'Earthy']",THC Dominant,,,,-0.5731,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy']","['Relaxed 57%', 'Happy 46%', 'Euphoric 44%', 'Hungry 34%', 'Sleepy 34%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 46%', 'Pain 42%', 'Anxiety 35%', 'Insomnia 33%', 'Depression 28%']","['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Seizures']","['Dry mouth 29%', 'Dry eyes 24%', 'Dizzy 4%', 'Headache 4%', 'Paranoid 4%']"
The Guice,Canuvo,,,,,THC Dominant,15–21% THC,< 1% CBD,"['Caryophyllene', 'Limonene', 'Humulene']",,,,,,,
XJ-13,Freddy's Fuego,,,hybrid,"['Citrus', 'Earthy', 'Pine']",THC Dominant,15–18% THC,< 1% CBD,"['Terpinolene', 'Caryophyllene', 'Pinene']",0.8271,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted']","['Happy 59%', 'Uplifted 51%', 'Euphoric 50%', 'Energetic 43%', 'Creative 42%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Stress 38%', 'Depression 29%', 'Anxiety 27%', 'Pain 18%', 'Fatigue 13%']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']","['Dry mouth 24%', 'Dry eyes 14%', 'Paranoid 6%', 'Anxious 4%', 'Dizzy 4%']"
Mega Jackpot,Western Cultured by Hannah Industries,,,hybrid,"['Berry', 'Grape', 'Strawberry']",THC Dominant,,,,,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Energetic']",,[],,"['Depression', 'Stress', 'Lack of Appetite', 'Fatigue', 'Headaches']",
Ghost Train Haze,GOLDLEAF,,,sativa,"['Citrus', 'Earthy', 'Sweet']",THC Dominant,14–19% THC,< 1% CBD,"['Terpinolene', 'Myrcene', 'Limonene']",0.9088,"['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Focused']","['Happy 56%', 'Uplifted 51%', 'Euphoric 48%', 'Energetic 48%', 'Focused 37%']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Stress 28%', 'Depression 27%', 'Pain 19%', 'Anxiety 17%', 'Fatigue 14%']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']","['Dry mouth 20%', 'Dry eyes 12%', 'Anxious 10%', 'Dizzy 7%', 'Paranoid 6%']"
